entrez_gene_symbol,gene_long_name,category_sources,category
SETX,SENATAXIN,GO,DNA REPAIR
KIF20B,KINESIN FAMILY MEMBER 20B,GO,TUMOR SUPPRESSOR
SDF2,STROMAL CELL DERIVED FACTOR 2,HingoraniCasas,DRUGGABLE GENOME
CDT1,CHROMATIN LICENSING AND DNA REPLICATION FACTOR 1,GO,TUMOR SUPPRESSOR
KCNK2,POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2,"GuideToPharmacologyGenes,GO",TRANSPORTER
KCNK2,POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2,"GuideToPharmacologyGenes,GO,BaderLabGenes",ION CHANNEL
KCNK2,POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2,GO,CELL SURFACE
KCNK2,POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 2,HingoraniCasas,DRUGGABLE GENOME
ASIC1,ACID SENSING ION CHANNEL SUBUNIT 1,"GO,GuideToPharmacologyGenes,HopkinsGroom",ION CHANNEL
ASIC1,ACID SENSING ION CHANNEL SUBUNIT 1,"GO,GuideToPharmacologyGenes",TRANSPORTER
ASIC1,ACID SENSING ION CHANNEL SUBUNIT 1,GO,CELL SURFACE
ASIC1,ACID SENSING ION CHANNEL SUBUNIT 1,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
PIK3R3,PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3,"GO,GuideToPharmacologyGenes",KINASE
PIK3R3,PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3,GO,LIPID KINASE
PIK3R3,PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3,"GuideToPharmacologyGenes,dGene",PHOSPHATIDYLINOSITOL 3 KINASE
PIK3R3,PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3,MskImpact,CLINICALLY ACTIONABLE
PIK3R3,PHOSPHOINOSITIDE-3-KINASE REGULATORY SUBUNIT 3,dGene,DRUGGABLE GENOME
OBP2A,ODORANT BINDING PROTEIN 2A,HingoraniCasas,DRUGGABLE GENOME
DSCAML1,DS CELL ADHESION MOLECULE LIKE 1,GO,CELL SURFACE
RFPL3,RET FINGER PROTEIN LIKE 3,HopkinsGroom,DRUGGABLE GENOME
RFPL3,RET FINGER PROTEIN LIKE 3,HopkinsGroom,B30_2 SPRY DOMAIN
GFRA4,GDNF FAMILY RECEPTOR ALPHA 4,HingoraniCasas,DRUGGABLE GENOME
DEFB129,DEFENSIN BETA 129,GO,CELL SURFACE
GUCA2B,GUANYLATE CYCLASE ACTIVATOR 2B,HingoraniCasas,DRUGGABLE GENOME
SFXN1,SIDEROFLEXIN 1,GO,TRANSPORTER
HIST1H4B,HISTONE CLUSTER 1 H4 FAMILY MEMBER B,HingoraniCasas,DRUGGABLE GENOME
HIST1H4B,HISTONE CLUSTER 1 H4 FAMILY MEMBER B,MskImpact,CLINICALLY ACTIONABLE
LMO2,LIM DOMAIN ONLY 2,GO,TRANSCRIPTION FACTOR COMPLEX
LMO2,LIM DOMAIN ONLY 2,GO,TRANSCRIPTION FACTOR BINDING
SLC5A1,SOLUTE CARRIER FAMILY 5 MEMBER 1,"HingoraniCasas,RussLampel",DRUGGABLE GENOME
SLC5A1,SOLUTE CARRIER FAMILY 5 MEMBER 1,"GO,GuideToPharmacologyGenes",TRANSPORTER
DDHD2,DDHD DOMAIN CONTAINING 2,GO,PHOSPHOLIPASE
ORAI2,ORAI CALCIUM RELEASE-ACTIVATED CALCIUM MODULATOR 2,GO,TRANSPORTER
ORAI2,ORAI CALCIUM RELEASE-ACTIVATED CALCIUM MODULATOR 2,GO,ION CHANNEL
FZD10,FRIZZLED CLASS RECEPTOR 10,GO,CELL SURFACE
FZD10,FRIZZLED CLASS RECEPTOR 10,GO,KINASE
FZD10,FRIZZLED CLASS RECEPTOR 10,"GO,GuideToPharmacologyGenes,dGene",G PROTEIN COUPLED RECEPTOR
FZD10,FRIZZLED CLASS RECEPTOR 10,GO,SERINE THREONINE KINASE
FZD10,FRIZZLED CLASS RECEPTOR 10,"dGene,HingoraniCasas",DRUGGABLE GENOME
KCNMB1,POTASSIUM CALCIUM-ACTIVATED CHANNEL SUBFAMILY M REGULATORY BETA SUBUNIT 1,GO,TRANSPORTER
KCNMB1,POTASSIUM CALCIUM-ACTIVATED CHANNEL SUBFAMILY M REGULATORY BETA SUBUNIT 1,GO,ION CHANNEL
RNASE1,"RIBONUCLEASE A FAMILY MEMBER 1, PANCREATIC",HingoraniCasas,DRUGGABLE GENOME
SNAP23,SYNAPTOSOME ASSOCIATED PROTEIN 23,HingoraniCasas,DRUGGABLE GENOME
TBRG4,TRANSFORMING GROWTH FACTOR BETA REGULATOR 4,GO,KINASE
TBRG4,TRANSFORMING GROWTH FACTOR BETA REGULATOR 4,GO,TUMOR SUPPRESSOR
USP27X,"UBIQUITIN SPECIFIC PEPTIDASE 27, X-LINKED","dGene,GO",PROTEASE
USP27X,"UBIQUITIN SPECIFIC PEPTIDASE 27, X-LINKED",dGene,DRUGGABLE GENOME
FRK,FYN RELATED SRC FAMILY TYROSINE KINASE,"HingoraniCasas,HopkinsGroom,RussLampel,dGene",DRUGGABLE GENOME
FRK,FYN RELATED SRC FAMILY TYROSINE KINASE,"HopkinsGroom,GuideToPharmacologyGenes,GO",KINASE
FRK,FYN RELATED SRC FAMILY TYROSINE KINASE,"GuideToPharmacologyGenes,GO,dGene",TYROSINE KINASE
OPN1MW3,"OPSIN 1, MEDIUM WAVE SENSITIVE 3",GO,G PROTEIN COUPLED RECEPTOR
GNPTG,N-ACETYLGLUCOSAMINE-1-PHOSPHATE TRANSFERASE GAMMA SUBUNIT,HingoraniCasas,DRUGGABLE GENOME
ATP6V1H,ATPASE H+ TRANSPORTING V1 SUBUNIT H,"GO,GuideToPharmacologyGenes",TRANSPORTER
ATP6V1H,ATPASE H+ TRANSPORTING V1 SUBUNIT H,GO,ABC TRANSPORTER
TADA3,TRANSCRIPTIONAL ADAPTOR 3,GO,PROTEASE
TADA3,TRANSCRIPTIONAL ADAPTOR 3,GO,HISTONE MODIFICATION
TADA3,TRANSCRIPTIONAL ADAPTOR 3,GO,TRANSCRIPTION FACTOR COMPLEX
PRKAR1B,PROTEIN KINASE CAMP-DEPENDENT TYPE I REGULATORY SUBUNIT BETA,"GuideToPharmacologyGenes,GO",SERINE THREONINE KINASE
PRKAR1B,PROTEIN KINASE CAMP-DEPENDENT TYPE I REGULATORY SUBUNIT BETA,"GuideToPharmacologyGenes,GO",KINASE
PRKAR1B,PROTEIN KINASE CAMP-DEPENDENT TYPE I REGULATORY SUBUNIT BETA,GO,TYROSINE KINASE
OR2W5,OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY W MEMBER 5 (GENE/PSEUDOGENE),dGene,DRUGGABLE GENOME
OR2W5,OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY W MEMBER 5 (GENE/PSEUDOGENE),"dGene,GO",G PROTEIN COUPLED RECEPTOR
ABCG4,ATP BINDING CASSETTE SUBFAMILY G MEMBER 4,RussLampel,DRUGGABLE GENOME
ABCG4,ATP BINDING CASSETTE SUBFAMILY G MEMBER 4,"GO,GuideToPharmacologyGenes",TRANSPORTER
ABCG4,ATP BINDING CASSETTE SUBFAMILY G MEMBER 4,"GO,GuideToPharmacologyGenes",ABC TRANSPORTER
USP17L18,UBIQUITIN SPECIFIC PEPTIDASE 17-LIKE FAMILY MEMBER 18,GO,PROTEASE
NAIP,NLR FAMILY APOPTOSIS INHIBITORY PROTEIN,GO,PROTEASE
NAIP,NLR FAMILY APOPTOSIS INHIBITORY PROTEIN,"GO,dGene",PROTEASE INHIBITOR
NAIP,NLR FAMILY APOPTOSIS INHIBITORY PROTEIN,dGene,DRUGGABLE GENOME
SSTR3,SOMATOSTATIN RECEPTOR 3,"dGene,RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
SSTR3,SOMATOSTATIN RECEPTOR 3,"dGene,GuideToPharmacologyGenes,GO,HopkinsGroom",G PROTEIN COUPLED RECEPTOR
PIKFYVE,"PHOSPHOINOSITIDE KINASE, FYVE-TYPE ZINC FINGER CONTAINING",GO,KINASE
C4BPA,COMPLEMENT COMPONENT 4 BINDING PROTEIN ALPHA,HingoraniCasas,DRUGGABLE GENOME
GRIN2B,GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B,GO,CELL SURFACE
GRIN2B,GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B,"GO,GuideToPharmacologyGenes",TRANSPORTER
GRIN2B,GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B,"GO,GuideToPharmacologyGenes",ION CHANNEL
GRIN2B,GLUTAMATE IONOTROPIC RECEPTOR NMDA TYPE SUBUNIT 2B,"HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
MINDY1,MINDY LYSINE 48 DEUBIQUITINASE 1,GO,PROTEASE
MYCN,"MYCN PROTO-ONCOGENE, BHLH TRANSCRIPTION FACTOR","MskImpact,FoundationOneGenes",CLINICALLY ACTIONABLE
BRCA1,"BRCA1, DNA REPAIR ASSOCIATED",GO,DNA REPAIR
BRCA1,"BRCA1, DNA REPAIR ASSOCIATED",GO,HISTONE MODIFICATION
BRCA1,"BRCA1, DNA REPAIR ASSOCIATED",GO,TUMOR SUPPRESSOR
BRCA1,"BRCA1, DNA REPAIR ASSOCIATED","FoundationOneGenes,MskImpact,CarisMolecularIntelligence",CLINICALLY ACTIONABLE
BRCA1,"BRCA1, DNA REPAIR ASSOCIATED",HingoraniCasas,DRUGGABLE GENOME
PAFAH1B2,PLATELET ACTIVATING FACTOR ACETYLHYDROLASE 1B CATALYTIC SUBUNIT 2,GO,PHOSPHOLIPASE
PRCP,PROLYLCARBOXYPEPTIDASE,"GuideToPharmacologyGenes,dGene,GO",PROTEASE
PRCP,PROLYLCARBOXYPEPTIDASE,"HingoraniCasas,dGene",DRUGGABLE GENOME
KANSL1,KAT8 REGULATORY NSL COMPLEX SUBUNIT 1,GO,HISTONE MODIFICATION
S100A12,S100 CALCIUM BINDING PROTEIN A12,GO,SERINE THREONINE KINASE
S100A12,S100 CALCIUM BINDING PROTEIN A12,GO,KINASE
S100A12,S100 CALCIUM BINDING PROTEIN A12,HingoraniCasas,DRUGGABLE GENOME
KPNA4,KARYOPHERIN SUBUNIT ALPHA 4,GO,TRANSPORTER
CD3G,CD3G MOLECULE,HingoraniCasas,DRUGGABLE GENOME
KYNU,KYNURENINASE,HingoraniCasas,DRUGGABLE GENOME
VAV3,VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 3,GO,DRUG RESISTANCE
VAV3,VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 3,GO,KINASE
VAV3,VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 3,GO,LIPID KINASE
CASP8AP2,CASPASE 8 ASSOCIATED PROTEIN 2,GO,PROTEASE
CD37,CD37 MOLECULE,HingoraniCasas,DRUGGABLE GENOME
