target_ID,related_disease_ID
700,3153
1357,4781
2488,6502
231,1790
5286,10392
5402,10515
5402,10519
17035,10519
5402,10520
5477,10571
5565,10631
6055,10631
5996,10923
5996,10925
6055,10977
6804,11709
7388,12327
7975,12858
8140,12933
8140,12934
8263,13037
9696,13966
10790,14605
10790,14606
10853,14622
10890,14677
11273,15016
11423,15173
12003,15650
12583,15978
12583,15980
13170,16279
13170,16280
14262,16986
14342,17027
14652,17209
2645,6843
3016,7429
3016,7432
4099,8865
4099,8873
4100,8875
15029,17394
15033,17404
15859,17862
15859,17863
16907,18391
17035,18446
17035,18447
17143,18499
18205,18974
18581,19114
18702,19185
18710,19198
18826,19239
18915,19303
18915,19305
19672,19613
478,2517
580,2770
3249,2770
765,3354
2645,3354
8263,3354
765,3356
2645,3356
8263,3356
2246,6140
163,1605
4972,1605
11682,1605
16348,1605
231,1788
4418,9581
4565,9699
4972,10201
9028,10201
5000,10212
5996,10926
13451,10926
6422,11373
7920,12817
7925,12818
9040,13652
9654,13652
10512,14434
11176,14434
12003,14434
10783,14601
18205,14601
10890,14676
10978,14776
14939,14776
16892,14776
11176,14937
18702,14937
12960,16111
13254,16317
17823,16317
13459,16414
14081,16899
16923,16899
14652,17208
15859,17208
14652,17210
15859,17210
2645,6841
2798,7028
13904,7028
17997,7028
18581,7028
2798,7032
3016,7431
9696,7431
14262,7431
3227,7665
7487,7665
8263,7665
3891,8458
3891,8459
18801,8459
18915,8459
15171,17484
16680,18299
188690,18299
16680,18300
188690,18300
17143,18498
17997,18882
18205,18973
18581,19113
18702,19187
18801,19234
18915,19304
19583,19523
19672,19611
765,3343
7095,3343
8151,3343
10199,3343
163,1606
4972,1606
11682,1606
16659,1606
16728,1606
17698,1606
5171,10320
5385,10320
6551,10320
19367,10320
5996,10927
11273,10927
12003,10927
13170,10927
18710,10927
11175,14935
18696,14935
18702,14935
113059,14935
11781,15513
13904,15513
2798,7031
13904,7031
17997,7031
18492,7031
3016,7427
6804,7427
9696,7427
10512,7427
14262,7427
18915,7427
3317,7755
5123,7755
12154,7755
15094,7755
16621,7755
17538,7755
3891,8460
18801,8460
4099,8864
4100,8864
7968,8864
13304,8864
19583,8864
4100,8876
5996,8876
6804,8876
12003,8876
13170,8876
13451,8876
479,2527
3016,2527
10512,2527
13451,2527
14262,2527
14371,2527
15747,2527
18915,2527
2317,6207
2967,6207
5573,6207
5821,6207
7994,6207
14902,6207
16062,6207
17008,6207
4972,10202
14558,10202
15258,10202
16062,10202
19344,10202
5286,10391
6325,10391
7569,10391
7583,10391
8649,10391
11876,10391
15460,10391
17008,10391
6224,11210
10848,11210
11273,11210
12401,11210
13809,11210
16463,11210
18384,11210
6422,11371
11128,11371
11176,11371
13170,11371
18702,11371
18915,11371
19583,11371
6422,11372
11128,11372
11176,11372
13170,11372
18702,11372
18915,11372
19583,11372
6804,11706
11128,11706
11176,11706
11228,11706
12583,11706
18702,11706
18915,11706
19583,11706
2787,7024
4099,7024
4100,7024
7968,7024
13304,7024
19583,7024
4100,8874
5996,8874
6804,8874
10512,8874
12003,8874
13170,8874
13451,8874
4245,9026
4368,9026
4427,9026
8593,9026
8913,9026
11620,9026
13954,9026
14558,9026
15411,9026
19492,9026
586,2797
2809,2797
3179,2797
3560,2797
3891,2797
4099,2797
4735,2797
4832,2797
8875,2797
10245,2797
11868,2797
18915,2797
19116,2797
1148,4372
2787,4372
8366,4372
11541,4372
12868,4372
16062,4372
17554,4372
17997,4372
18207,4372
18590,4372
1201,4480
1210,4480
3982,4480
5402,4480
8112,4480
8140,4480
10978,4480
14939,4480
16892,4480
17148,4480
17185,4480
17329,4480
1737,5351
1790,5351
4478,5351
5996,5351
6087,5351
7335,5351
8617,5351
8649,5351
12003,5351
13170,5351
15606,5351
16233,5351
17008,5351
18710,5351
107,1111
478,1111
2906,1111
7968,1111
11175,1111
11176,1111
18696,1111
18702,1111
19227,1111
19583,1111
550,1111
6087,11033
10783,11033
10847,11033
14351,11033
15457,11033
16590,11033
17217,11033
18964,11033
19344,11033
19644,11033
479,2526
3016,2526
4565,2526
5996,2526
6804,2526
7627,2526
9146,2526
10512,2526
10783,2526
10790,2526
10978,2526
11128,2526
11176,2526
13451,2526
13693,2526
14262,2526
14371,2526
15747,2526
17791,2526
18205,2526
18702,2526
18915,2526
479,2531
3016,2531
4099,2531
4100,2531
6804,2531
11176,2531
12631,2531
13333,2531
13340,2531
15284,2531
16680,2531
18702,2531
18854,2531
18915,2531
19707,2531
20076,2531
3769,2531
1695,5322
1989,5322
1997,5322
3453,5322
