Gene_Name	Interactions
A0A0A6YYK7	"['HLA-DRA', 'HLA-DQA2', 'HLA-DPA1', 'HLA-DQA1', 'LCK', 'CD4', 'CD1C', 'CD1D', 'B2M', 'CD1B', 'CD1A', 'TRBV12-3', 'TCRB', 'TRBC1', 'CD247', 'CD3D', 'CD3E', 'CD3G', 'ZAP70', 'PRKCQ', 'GRAP2', 'PLCG1', 'LCP2', 'LAT', 'A0A0A6YYK7', 'TRAC', 'TCRA']"
A0A0G2JZA1	"['SLIT2', 'GPC1']"
A2M	"['A2M', 'KLKB1']"
AADAT	['AADAT']
AAMP	"['NOD2', 'EGFR']"
AASDHPPT	['FASN']
AASS	['AASS']
AATF	"['NGF', 'NGFR']"
ABAT	['ABAT']
ABCA1	"['ABCA1', 'NR1H2', 'RXRA']"
ABCB10	['ABCB10']
ABCB6	['ABCB6']
ABCB7	['ABCB7']
ABCB8	['ABCB8']
ABCB9	['ABCB9']
ABCC8	"['KCNJ11', 'KCNJ8', 'ABCC8']"
ABCC9	"['ABCC9', 'KCNJ11']"
ABCD1	"['ABCD1', 'ABCD2', 'PEX19']"
ABCD2	"['ABCD1', 'PEX19']"
ABCD3	"['ABCD1', 'ABCD2', 'PEX19']"
ABCE1	['RNASEL']
ABCG1	['ABCG1']
ABCG2	['ABCG2']
ABCG4	['ABCG4']
ABCG5	['ABCG8']
ABHD17A	"['HRAS', 'NRAS', 'KRAS']"
ABHD17B	"['KRAS', 'HRAS', 'NRAS']"
ABHD17C	"['NRAS', 'HRAS', 'KRAS']"
ABHD5	['PLIN1']
ABL1	"['CTNNA2', 'CTNNA1', 'CTNNB1', 'SPAG9', 'BOC', 'CDC42', 'BNIP2', 'CDON', 'CDH15', 'CDH2', 'CABLES1', 'BAIAP2', 'RAC1', 'RAD52', 'YAP1']"
