,gene,ndiseases
0,A4GALT,3
1,AARS1,2
2,AARS2,2
3,ABCA4,6
4,ABCB1,2
5,ABCB4,3
6,ABCB6,4
7,ABCC11,2
8,ABCC6,3
9,ABCC8,5
10,ABCC9,3
11,ABCG2,2
12,ABCG8,2
13,ABL1,2
14,ACAN,2
15,ACE,6
16,ACKR1,3
17,ACO2,2
18,ACOX1,2
19,ACSL6,2
20,ACTA1,5
21,ACTA2,3
22,ACTB,2
23,ACTC1,4
24,ACTG1,2
25,ACTN2,4
26,ACTN3,2
27,ADA,2
28,ADA2,2
29,ADAM10,2
30,ADAR,2
31,ADGRV1,3
32,ADH1B,2
33,ADH1C,2
34,ADRB1,2
35,ADRB2,3
36,AFG3L2,3
37,AGK,2
38,AGRP,2
39,AGT,3
40,AGTR1,2
41,AIFM1,4
42,AIP,2
43,AIPL1,2
44,AKT1,5
45,AKT2,2
46,ALAD,2
47,ALAS2,2
48,ALB,2
49,ALDH18A1,4
50,ALDH2,4
51,ALG13,2
52,ALG14,3
53,ALG2,2
54,ALG8,2
55,ALG9,2
56,ALOX5,2
57,ALS2,3
58,ALX4,3
59,AMACR,2
60,AMPD2,2
61,ANKH,2
62,ANO5,3
63,ANTXR1,2
64,AP4E1,2
65,APC,9
66,APC2,2
67,APOA1,3
68,APOA2,2
69,APOE,7
70,APOL1,2
71,APP,2
72,AQP1,2
73,AR,5
74,ARL3,2
75,ARL6,3
76,ARX,6
77,ASAH1,2
78,ASCC1,2
79,ASCL1,2
80,ASPN,2
81,ASXL1,2
82,ATAD3A,2
83,ATL1,2
84,ATM,5
85,ATN1,2
86,ATP1A1,2
87,ATP1A2,3
88,ATP1A3,3
89,ATP2A2,2
90,ATP5F1A,2
91,ATP6AP2,3
92,ATP6V1A,2
93,ATP6V1B2,2
94,ATP7A,3
95,ATR,2
96,ATRX,3
97,ATXN2,3
98,ATXN8OS,2
99,AVPR2,2
100,AXIN1,2
101,AXIN2,2
102,B2M,2
103,B3GALT6,3
104,B9D1,2
105,B9D2,2
106,BAG3,2
107,BAX,2
108,BBS2,2
109,BCHE,2
110,BCL10,6
111,BCL11B,2
112,BEST1,6
113,BGN,2
114,BMP2,3
115,BMP4,2
116,BMPR2,3
117,BRAF,7
118,BRAT1,2
119,BRCA1,3
120,BRCA2,8
121,BRIP1,2
122,BSCL2,4
123,BTK,2
124,BUB1B,3
125,C1S,2
126,C2,2
127,C3,3
128,C4A,2
129,C5,2
130,C8orf37,3
131,C9,2
132,CACNA1A,5
133,CACNA1D,2
134,CACNA1F,3
135,CACNA1H,3
136,CACNA1S,4
137,CACNB4,3
138,CALM1,2
