	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	1.0
1	-1	-1	0.9887096774193548
2	-1	-1	0.9967741935483871
3	-1	-1	0.9451612903225806
4	-1	-1	0.995
5	-1	-1	0.9789473684210527
6	-1	-1	0.985
7	-1	-1	0.9666666666666667
8	-1	-1	0.9983333333333333
9	-1	-1	0.9833333333333334
10	-1	-1	0.995
11	-1	-1	0.9854838709677419
12	-1	-1	0.995
13	-1	-1	0.9758064516129031
14	-1	-1	0.9951612903225807
15	-1	-1	0.9438596491228071
16	-1	-1	0.99
17	-1	-1	0.9833333333333334
18	-1	-1	0.9816666666666667
19	-1	-1	0.9964912280701754
20	-1	-1	0.97
21	-1	-1	0.9774193548387097
22	-1	-1	0.9870967741935484
23	-1	-1	1.0
24	-1	-1	0.9783333333333334
25	-1	-1	0.9771929824561404
26	-1	-1	0.9683333333333334
27	-1	-1	0.99
28	-1	-1	0.9982456140350877
29	-1	-1	0.9533333333333334
30	-1	-1	0.9838709677419355
31	-1	-1	0.9935483870967742
32	-1	-1	0.9967741935483871
33	-1	-1	0.9749999999999999
34	-1	-1	0.995
35	-1	-1	0.9733333333333334
36	-1	-1	0.905
37	-1	-1	0.9894736842105263
38	-1	-1	0.98
39	-1	-1	0.9842105263157895
40	-1	-1	0.9806451612903226
41	-1	-1	0.9467741935483871
42	-1	-1	0.9967741935483871
43	-1	-1	0.9883333333333333
44	-1	-1	0.9716666666666667
45	-1	-1	0.9866666666666667
46	-1	-1	0.980701754385965
47	-1	-1	0.9883333333333334
48	-1	-1	0.9771929824561404
49	-1	-1	0.9450000000000001
50	-1	-1	0.9967741935483871
51	-1	-1	1.0
52	-1	-1	0.9693548387096773
53	-1	-1	0.9983333333333333
54	-1	-1	0.9716666666666667
55	-1	-1	0.95
56	-1	-1	0.9683333333333334
57	-1	-1	0.9701754385964911
58	-1	-1	1.0
59	-1	-1	0.9701754385964912
60	-1	-1	0.9661290322580645
61	-1	-1	0.9650000000000001
62	-1	-1	0.9919354838709677
63	-1	-1	0.9633333333333333
64	-1	-1	0.9758064516129032
65	-1	-1	0.9766666666666667
66	-1	-1	0.9929824561403509
67	-1	-1	0.97
68	-1	-1	0.9754385964912281
69	-1	-1	0.975
70	-1	-1	0.9758064516129032
71	-1	-1	0.9564516129032258
72	-1	-1	0.9838709677419355
73	-1	-1	0.97
74	-1	-1	0.98
75	-1	-1	0.97
76	-1	-1	0.9883333333333334
77	-1	-1	0.987719298245614
78	-1	-1	0.9916666666666667
79	-1	-1	0.9614035087719298
80	-1	-1	0.9806451612903226
81	-1	-1	0.9935483870967742
82	-1	-1	0.9966666666666667
