	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.9074074074074074
1	-1	-1	0.925925925925926
2	-1	-1	0.9814814814814814
3	-1	-1	1.0
4	-1	-1	0.9629629629629629
5	-1	-1	1.0
6	-1	-1	0.962962962962963
7	-1	-1	1.0
8	-1	-1	0.95
9	-1	-1	0.875
10	-1	-1	1.0
11	-1	-1	0.8333333333333334
12	-1	-1	1.0
13	-1	-1	0.7962962962962963
14	-1	-1	1.0
15	-1	-1	0.9814814814814814
16	-1	-1	0.925925925925926
17	-1	-1	0.9629629629629629
18	-1	-1	1.0
19	-1	-1	0.875
20	-1	-1	0.9259259259259258
21	-1	-1	1.0
22	-1	-1	1.0
23	-1	-1	0.9814814814814814
24	-1	-1	0.962962962962963
25	-1	-1	1.0
26	-1	-1	1.0
27	-1	-1	0.8148148148148148
28	-1	-1	0.95
29	-1	-1	0.675
30	-1	-1	0.5740740740740741
31	-1	-1	0.9814814814814814
32	-1	-1	1.0
33	-1	-1	1.0
34	-1	-1	0.7037037037037037
35	-1	-1	1.0
36	-1	-1	0.962962962962963
37	-1	-1	1.0
38	-1	-1	0.975
39	-1	-1	0.875
40	-1	-1	0.7962962962962963
41	-1	-1	1.0
42	-1	-1	1.0
43	-1	-1	0.9074074074074074
44	-1	-1	1.0
45	-1	-1	1.0
46	-1	-1	1.0
47	-1	-1	0.925925925925926
48	-1	-1	0.95
49	-1	-1	1.0
50	-1	-1	1.0
51	-1	-1	1.0
52	-1	-1	0.9814814814814814
53	-1	-1	0.9814814814814814
54	-1	-1	1.0
55	-1	-1	1.0
56	-1	-1	0.8703703703703703
57	-1	-1	0.9259259259259258
58	-1	-1	1.0
59	-1	-1	1.0
60	-1	-1	0.9444444444444444
61	-1	-1	1.0
62	-1	-1	1.0
63	-1	-1	0.9814814814814814
64	-1	-1	0.9814814814814814
65	-1	-1	0.9259259259259259
66	-1	-1	0.8703703703703703
67	-1	-1	0.9259259259259258
68	-1	-1	1.0
69	-1	-1	0.875
70	-1	-1	0.9814814814814814
71	-1	-1	0.9259259259259258
72	-1	-1	1.0
73	-1	-1	0.8148148148148148
74	-1	-1	0.888888888888889
75	-1	-1	0.9814814814814814
76	-1	-1	0.9259259259259259
77	-1	-1	0.9814814814814814
78	-1	-1	0.9
79	-1	-1	1.0
80	-1	-1	0.962962962962963
81	-1	-1	0.9814814814814814
82	-1	-1	0.8518518518518519
83	-1	-1	1.0
84	-1	-1	1.0
85	-1	-1	0.8148148148148149
86	-1	-1	0.9814814814814814
87	-1	-1	0.962962962962963
88	-1	-1	1.0
89	-1	-1	1.0
90	-1	-1	1.0
91	-1	-1	0.9814814814814814
92	-1	-1	1.0
93	-1	-1	0.9814814814814814
94	-1	-1	1.0
95	-1	-1	0.8703703703703703
96	-1	-1	0.8703703703703703
97	-1	-1	1.0
98	-1	-1	1.0
99	-1	-1	0.9
100	-1	-1	1.0
101	-1	-1	0.9814814814814814
102	-1	-1	1.0
103	-1	-1	1.0
104	-1	-1	1.0
105	-1	-1	0.9814814814814814
106	-1	-1	1.0
107	-1	-1	0.8333333333333334
108	-1	-1	0.95
109	-1	-1	1.0
110	-1	-1	1.0
111	-1	-1	1.0
112	-1	-1	0.8333333333333334
113	-1	-1	1.0
114	-1	-1	0.9259259259259259
115	-1	-1	1.0
116	-1	-1	1.0
117	-1	-1	0.962962962962963
118	-1	-1	1.0
119	-1	-1	1.0
120	-1	-1	1.0
121	-1	-1	0.9814814814814814
122	-1	-1	0.888888888888889
123	-1	-1	1.0
124	-1	-1	1.0
125	-1	-1	0.9814814814814814
126	-1	-1	0.962962962962963
127	-1	-1	1.0
128	-1	-1	0.975
129	-1	-1	1.0
130	-1	-1	0.9629629629629629
131	-1	-1	0.9259259259259258
132	-1	-1	1.0
133	-1	-1	0.962962962962963
134	-1	-1	0.8703703703703703
135	-1	-1	0.9259259259259259
136	-1	-1	1.0
137	-1	-1	0.9074074074074074
138	-1	-1	0.975
139	-1	-1	0.8
140	-1	-1	0.9074074074074073
141	-1	-1	0.9444444444444444
142	-1	-1	1.0
143	-1	-1	1.0
144	-1	-1	0.888888888888889
145	-1	-1	0.962962962962963
146	-1	-1	0.9814814814814814
147	-1	-1	1.0
148	-1	-1	1.0
149	-1	-1	1.0
150	-1	-1	0.9444444444444445
151	-1	-1	1.0
152	-1	-1	1.0
153	-1	-1	0.8888888888888888
154	-1	-1	0.9259259259259258
155	-1	-1	0.9814814814814814
156	-1	-1	1.0
157	-1	-1	0.9259259259259259
158	-1	-1	0.8
159	-1	-1	0.95
160	-1	-1	0.962962962962963
161	-1	-1	1.0
162	-1	-1	1.0
163	-1	-1	1.0
164	-1	-1	0.9814814814814814
165	-1	-1	1.0
166	-1	-1	0.8333333333333335
167	-1	-1	0.962962962962963
168	-1	-1	0.975
169	-1	-1	0.875
170	-1	-1	1.0
171	-1	-1	0.9259259259259259
172	-1	-1	1.0
173	-1	-1	1.0
174	-1	-1	0.925925925925926
175	-1	-1	0.9814814814814814
176	-1	-1	1.0
177	-1	-1	0.9629629629629629
178	-1	-1	0.8
179	-1	-1	0.9
180	-1	-1	1.0
181	-1	-1	1.0
182	-1	-1	0.8518518518518519
183	-1	-1	1.0
184	-1	-1	0.9444444444444444
185	-1	-1	1.0
186	-1	-1	0.9074074074074074
187	-1	-1	1.0
188	-1	-1	0.975
189	-1	-1	1.0
190	-1	-1	0.9259259259259259
191	-1	-1	0.8518518518518519
192	-1	-1	1.0
193	-1	-1	0.9629629629629629
194	-1	-1	0.9444444444444445
195	-1	-1	0.9259259259259259
196	-1	-1	1.0
197	-1	-1	0.8148148148148149
198	-1	-1	1.0
199	-1	-1	0.975
