	Train_Accuracy	Test_Accuracy	AUC
0	-1	-1	0.9820936639118457
1	-1	-1	0.9848484848484849
2	-1	-1	0.9848484848484849
3	-1	-1	0.9352617079889807
4	-1	-1	0.9228650137741047
5	-1	-1	0.9668109668109668
6	-1	-1	0.9422799422799423
7	-1	-1	0.9940476190476191
8	-1	-1	0.9925595238095238
9	-1	-1	0.9702380952380952
10	-1	-1	0.9366391184573003
11	-1	-1	0.9586776859504132
12	-1	-1	0.9710743801652894
13	-1	-1	0.9820936639118457
14	-1	-1	0.9669421487603306
15	-1	-1	0.9725829725829727
16	-1	-1	0.9360119047619048
17	-1	-1	0.98989898989899
18	-1	-1	0.9464285714285714
19	-1	-1	0.9375
20	-1	-1	0.9765840220385674
21	-1	-1	0.9118457300275482
22	-1	-1	0.9641873278236914
23	-1	-1	0.9325068870523416
24	-1	-1	0.9765840220385675
25	-1	-1	0.9567099567099567
26	-1	-1	0.9494949494949495
27	-1	-1	0.9583333333333333
28	-1	-1	0.9970238095238095
29	-1	-1	0.9151785714285714
30	-1	-1	0.9407713498622589
31	-1	-1	0.9393939393939394
32	-1	-1	0.9848484848484849
33	-1	-1	0.940771349862259
34	-1	-1	0.9683195592286501
35	-1	-1	0.9797979797979798
36	-1	-1	0.9956709956709957
37	-1	-1	0.9806547619047619
38	-1	-1	0.9613095238095237
39	-1	-1	0.9508928571428571
40	-1	-1	0.9366391184573003
41	-1	-1	0.9752066115702479
42	-1	-1	0.987603305785124
43	-1	-1	0.8966942148760331
44	-1	-1	0.8911845730027548
45	-1	-1	0.9855699855699855
46	-1	-1	0.976911976911977
47	-1	-1	0.9955357142857143
48	-1	-1	0.9657738095238095
49	-1	-1	0.9836309523809523
50	-1	-1	0.9573002754820937
51	-1	-1	0.9600550964187327
52	-1	-1	0.9834710743801652
53	-1	-1	0.9669421487603306
54	-1	-1	0.9256198347107438
55	-1	-1	0.9841269841269842
56	-1	-1	0.9898989898989898
57	-1	-1	0.9255952380952381
58	-1	-1	0.9806547619047619
59	-1	-1	0.96875
60	-1	-1	0.9449035812672176
61	-1	-1	0.9214876033057852
62	-1	-1	0.9421487603305786
63	-1	-1	0.9917355371900827
64	-1	-1	0.9862258953168044
65	-1	-1	0.9581529581529582
66	-1	-1	0.9855699855699855
67	-1	-1	0.9389880952380952
68	-1	-1	0.9598214285714286
69	-1	-1	0.9345238095238095
70	-1	-1	0.9035812672176309
71	-1	-1	0.9848484848484849
72	-1	-1	0.9683195592286502
73	-1	-1	0.9834710743801652
74	-1	-1	0.9311294765840221
75	-1	-1	0.937950937950938
76	-1	-1	0.9970238095238095
77	-1	-1	0.9494949494949495
78	-1	-1	0.9672619047619048
79	-1	-1	0.9657738095238095
80	-1	-1	0.997245179063361
81	-1	-1	0.9022038567493113
82	-1	-1	0.9765840220385674
83	-1	-1	0.9283746556473829
84	-1	-1	0.9738292011019284
85	-1	-1	0.9725829725829727
86	-1	-1	0.9747023809523809
87	-1	-1	0.9797979797979799
88	-1	-1	0.9598214285714286
89	-1	-1	0.9866071428571428
90	-1	-1	0.9724517906336088
91	-1	-1	0.9600550964187328
92	-1	-1	0.9669421487603305
93	-1	-1	0.9807162534435262
94	-1	-1	0.9683195592286502
95	-1	-1	0.9494949494949495
96	-1	-1	0.9122023809523809
97	-1	-1	0.9754689754689754
98	-1	-1	0.9434523809523809
99	-1	-1	0.9642857142857142
100	-1	-1	0.8925619834710744
101	-1	-1	0.9366391184573003
102	-1	-1	0.9462809917355371
103	-1	-1	0.9600550964187328
104	-1	-1	0.9710743801652892
105	-1	-1	0.9696969696969697
106	-1	-1	0.9330357142857142
107	-1	-1	1.0
108	-1	-1	0.9404761904761905
109	-1	-1	0.9851190476190477
110	-1	-1	0.9807162534435261
111	-1	-1	0.9476584022038568
112	-1	-1	0.9848484848484849
113	-1	-1	0.9476584022038568
114	-1	-1	0.9132231404958677
115	-1	-1	0.9552669552669553
116	-1	-1	0.9508928571428571
117	-1	-1	1.0
118	-1	-1	0.9884559884559885
119	-1	-1	0.9613095238095238
120	-1	-1	0.9724517906336089
121	-1	-1	0.9793388429752066
122	-1	-1	0.9696969696969697
123	-1	-1	0.9242424242424243
124	-1	-1	0.9573002754820936
125	-1	-1	0.9754689754689754
126	-1	-1	0.9315476190476191
127	-1	-1	0.9942279942279942
128	-1	-1	0.9880952380952381
129	-1	-1	0.9598214285714286
130	-1	-1	0.9889807162534435
131	-1	-1	0.9559228650137741
132	-1	-1	0.9848484848484849
133	-1	-1	0.9214876033057852
134	-1	-1	0.9958677685950413
135	-1	-1	0.950937950937951
136	-1	-1	0.9672619047619048
137	-1	-1	0.9797979797979798
138	-1	-1	0.9791666666666666
139	-1	-1	0.9732142857142857
140	-1	-1	0.9710743801652892
141	-1	-1	0.9848484848484849
142	-1	-1	0.9573002754820937
143	-1	-1	0.9724517906336089
144	-1	-1	0.997245179063361
145	-1	-1	0.9841269841269842
146	-1	-1	0.8816738816738816
147	-1	-1	0.9895833333333334
148	-1	-1	0.9702380952380952
149	-1	-1	0.9732142857142857
150	-1	-1	0.9614325068870524
151	-1	-1	0.9641873278236914
152	-1	-1	1.0
153	-1	-1	0.9917355371900827
154	-1	-1	0.9655647382920111
155	-1	-1	0.9783549783549783
156	-1	-1	0.9285714285714286
157	-1	-1	0.976911976911977
158	-1	-1	0.9598214285714286
159	-1	-1	0.9761904761904762
160	-1	-1	0.9641873278236914
161	-1	-1	0.955922865013774
162	-1	-1	0.9669421487603306
163	-1	-1	0.9641873278236914
164	-1	-1	0.9958677685950413
165	-1	-1	0.974025974025974
166	-1	-1	0.9955357142857143
167	-1	-1	0.9855699855699855
168	-1	-1	0.9657738095238095
169	-1	-1	0.9970238095238095
170	-1	-1	0.9517906336088154
171	-1	-1	0.997245179063361
172	-1	-1	0.975206611570248
173	-1	-1	0.9917355371900827
174	-1	-1	0.940771349862259
175	-1	-1	0.9642857142857143
176	-1	-1	0.98989898989899
177	-1	-1	0.9437229437229437
178	-1	-1	0.9002976190476191
179	-1	-1	0.9761904761904762
180	-1	-1	0.9696969696969696
181	-1	-1	0.9807162534435261
182	-1	-1	0.9944903581267217
183	-1	-1	0.8677685950413223
184	-1	-1	0.9710743801652892
185	-1	-1	0.9913419913419914
186	-1	-1	0.9479166666666666
187	-1	-1	0.98989898989899
188	-1	-1	0.9598214285714286
189	-1	-1	0.9866071428571428
190	-1	-1	0.9517906336088154
191	-1	-1	0.9793388429752066
192	-1	-1	1.0
193	-1	-1	0.9793388429752066
194	-1	-1	0.9380165289256198
195	-1	-1	0.9682539682539683
196	-1	-1	0.9696969696969697
197	-1	-1	0.9464285714285714
198	-1	-1	0.9851190476190477
199	-1	-1	0.9553571428571428
200	-1	-1	0.940771349862259
201	-1	-1	0.940771349862259
202	-1	-1	0.9710743801652892
203	-1	-1	0.9752066115702479
204	-1	-1	0.8732782369146005
205	-1	-1	0.9552669552669553
206	-1	-1	0.9956709956709957
207	-1	-1	0.9985119047619048
208	-1	-1	0.9627976190476191
209	-1	-1	0.96875
210	-1	-1	0.9655647382920111
211	-1	-1	0.987603305785124
212	-1	-1	0.990358126721763
213	-1	-1	0.9573002754820936
214	-1	-1	0.9462809917355371
215	-1	-1	0.9696969696969696
