Gene_Name,homologous_superfamily,name
ZNF214,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
MKS1,,
IKZF3,['IPR036236'],['Zinc finger C2H2 superfamily']
ZNF215,"['IPR036051', 'IPR036236', 'IPR038269']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily', 'SCAN domain superfamily']"
HTR1E,,
EMP3,,
FBXW2,"['IPR036047', 'IPR036322']","['F-box-like domain superfamily', 'WD40-repeat-containing domain superfamily']"
FBXL3,['IPR032675'],['Leucine-rich repeat domain superfamily']
EMP2,,
FBXL21,,
DUSP1,"['IPR029021', 'IPR036873']","['Protein-tyrosine phosphatase-like', 'Rhodanese-like domain superfamily']"
ELOVL2,,
PALM3,,
COPS9,,
IL9,,
THADA,,
UGT2B15,,
PYDC1,['IPR011029'],['Death-like domain superfamily']
MICU3,['IPR011992'],['EF-hand domain pair']
CD96,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
SNX32,"['IPR027267', 'IPR036871']","['AH/BAR domain superfamily', 'PX domain superfamily']"
SELE,"['IPR016186', 'IPR016187', 'IPR035976']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold', 'Sushi/SCR/CCP superfamily']"
TRPC5,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
KLRG2,['IPR016187'],['C-type lectin fold']
ACSL6,['IPR042099'],['AMP-dependent synthetase-like superfamily']
ZNF705F,['IPR036051'],['KRAB domain superfamily']
TRHDE,,
MYCNOS,,
HOGA1,['IPR013785'],['Aldolase-type TIM barrel']
MKLN1,"['IPR008979', 'IPR011043', 'IPR015915']","['Galactose-binding-like domain superfamily', 'Galactose oxidase/kelch, beta-propeller', 'Kelch-type beta propeller']"
CD300E,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
GFOD1,['IPR036291'],['NAD(P)-binding domain superfamily']
METTL21A,['IPR029063'],['S-adenosyl-L-methionine-dependent methyltransferase']
ANGPTL2,['IPR036056'],"['Fibrinogen-like, C-terminal']"
SSTR2,,
MYT1L,,
ACAD8,"['IPR009100', 'IPR036250', 'IPR037069']","['Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily', 'Acyl-CoA dehydrogenase-like, C-terminal', 'Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily']"
POLR2B,"['IPR014724', 'IPR037033', 'IPR037034']","['RNA polymerase Rpb2, OB-fold', 'DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily', 'RNA polymerase Rpb2, domain 2 superfamily']"
MIOS,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
PGD,"['IPR008927', 'IPR013328', 'IPR036291']","['6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily', '6-phosphogluconate dehydrogenase, domain 2', 'NAD(P)-binding domain superfamily']"
FOSB,,
ZNF606,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
HMGCS2,['IPR016039'],['Thiolase-like']
PGAM2,['IPR029033'],['Histidine phosphatase superfamily']
SSTR1,,
SYNDIG1L,,
NSG1,,
MAGI1,"['IPR027417', 'IPR036020', 'IPR036034']","['P-loop containing nucleoside triphosphate hydrolase', 'WW domain superfamily', 'PDZ superfamily']"
HTT,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
SREK1,['IPR012677'],['Nucleotide-binding alpha-beta plait domain superfamily']
MPV17,['IPR012677'],['Nucleotide-binding alpha-beta plait domain superfamily']
FER,"['IPR011009', 'IPR036860']","['Protein kinase-like domain superfamily', 'SH2 domain superfamily']"
IFNGR1,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
ACIN1,['IPR035979'],['RNA-binding domain superfamily']
ZFAND4,['IPR035896'],['AN1-like Zinc finger']
HDAC9,"['IPR023696', 'IPR037138']","['Ureohydrolase domain superfamily', 'Histone deacetylase domain superfamily']"
FAM131B,"['IPR023696', 'IPR037138']","['Ureohydrolase domain superfamily', 'Histone deacetylase domain superfamily']"
AMFR,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
MTMR10,,
WDR91,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
AGO2,"['IPR012337', 'IPR036085', 'IPR036397']","['Ribonuclease H-like superfamily', 'PAZ domain superfamily', 'Ribonuclease H superfamily']"
LRRC10,,
,,
HTR3C,"['IPR036719', 'IPR036734']","['Neurotransmitter-gated ion-channel transmembrane domain superfamily', 'Neurotransmitter-gated ion-channel ligand-binding domain superfamily']"
RUFY2,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
TMEM64,,
PANX3,,
FAM133B,,
PATE1,,
POMT1,['IPR036300'],['Mir domain superfamily']
RBMY1B,['IPR035979'],['RNA-binding domain superfamily']
CRISP2,"['IPR035940', 'IPR042076']","['CAP superfamily', 'Crisp-like domain']"
CYP46A1,['IPR036396'],['Cytochrome P450 superfamily']
GAGE12H,,
SPCS1,,
VAV3,"['IPR011993', 'IPR035899', 'IPR036860']","['PH-like domain superfamily', 'Dbl homology (DH) domain superfamily', 'SH2 domain superfamily']"
NCF1C,['IPR036028'],['SH3-like domain superfamily']
TACC3,,
CFAP20,,
ELF5,"['IPR013761', 'IPR036390']","['Sterile alpha motif/pointed domain superfamily', 'Winged helix DNA-binding domain superfamily']"
NRN1L,,
ALDH18A1,"['IPR016161', 'IPR016162', 'IPR016163', 'IPR036393']","['Aldehyde/histidinol dehydrogenase', 'Aldehyde dehydrogenase, N-terminal', 'Aldehyde dehydrogenase, C-terminal', 'Acetylglutamate kinase-like superfamily']"
SMPD4,"['IPR016161', 'IPR016162', 'IPR016163', 'IPR036393']","['Aldehyde/histidinol dehydrogenase', 'Aldehyde dehydrogenase, N-terminal', 'Aldehyde dehydrogenase, C-terminal', 'Acetylglutamate kinase-like superfamily']"
CWC25,,
RAPSN,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
ZNF326,,
HEATR5A,,
C19orf38,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ACVR2B,['IPR011009'],['Protein kinase-like domain superfamily']
EID1,,
