pharos_index,AccessionKeys,Gene_Name,novelty,idgTDL_Tbio,idgTDL_Tchem,idgTDL_Tclin,idgTDL_Tdark,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len
1,Q9UL59,ZNF214,-0.493690363,0,0,0,1,9,103,12,0.996552,0.996552,0.811111,,0.814583,606
2,Q9NXB0,MKS1,-1.318373949,1,0,0,0,0,59,,0.862069,0.862069,0.566667,0.683575,0.6875,559
3,Q9UKT9,IKZF3,-1.822932387,1,0,0,0,120,314,4,0.9,0.9,0.966667,0.939189,0.997917,509
4,Q9UL58,ZNF215,-0.517472962,0,0,0,1,39,91,,0.693103,0.693103,0.756173,0.878378,0.883333,517
5,P28566,HTR1E,-1.568858265,0,1,0,0,10,110,4,,,0.930556,0.439815,0.916667,365
6,P54852,EMP3,-1.680849784,1,0,0,0,33,164,3,0.482759,0.482759,0.691667,,0.791667,163
7,Q9UKT8,FBXW2,-2.093810466,1,0,0,0,2,104,,0.844828,0.844828,0.505556,0.847222,0.572917,454
8,Q9UKT7,FBXL3,-0.994380008,1,0,0,0,28,174,4,0.913793,0.913793,0.505556,,0.65625,428
9,P54851,EMP2,-2.30855601,1,0,0,0,2,116,,0.693103,0.693103,0.966667,0.621005,0.845833,167
10,Q9UKT6,FBXL21,,0,0,0,1,0,0,1,0.882759,0.882759,,,,434
11,P28562,DUSP1,-2.88259943,0,1,0,0,30,388,,,,0.722222,0.452055,0.802083,367
12,Q9NXB9,ELOVL2,-1.992709368,1,0,0,0,3,122,,0.913793,0.913793,0.95,,0.847917,296
13,A6NDB9,PALM3,-0.66900679,1,0,0,0,0,76,,0.844828,0.844828,0.919444,0.833333,0.9625,673
14,Q8WXC6,COPS9,0.209949526,1,0,0,0,2,14,,0.813793,,0.472222,,0.516667,57
15,P15248,IL9,-2.508110469,1,0,0,0,147,459,,,,0.997222,,1,144
16,Q6YHU6,THADA,-1.524867147,1,0,0,0,0,60,1,0.52069,0.52069,0.566667,,0.6875,1953
17,P54855,UGT2B15,-1.795891146,1,0,0,0,4,83,,0.913793,0.913793,0.997222,0.949772,0.997917,530
18,Q8WXC3,PYDC1,-2.885672634,1,0,0,0,36,115,,1,1,1,,0.947917,89
19,Q86XE3,MICU3,-0.210853362,0,0,0,1,2,50,,0.617241,,0.813889,,0.745833,530
20,P40200,CD96,-2.05505367,1,0,0,0,118,205,5,0.975862,0.975862,0.875,0.932432,0.975,585
21,Q86XE0,SNX32,0.350248018,0,0,0,1,3,89,9,0.631034,0.631034,0.997222,,0.8875,403
22,P16581,SELE,-3.449258137,0,1,0,0,569,919,6,0.975862,0.975862,0.930556,0.98,0.916667,610
23,Q9UL62,TRPC5,-2.250022648,0,1,0,0,112,220,3,0.937931,0.937931,0.997222,,0.90625,973
24,A4D1S0,KLRG2,-0.066946788,0,0,0,1,0,58,39,0.937931,0.937931,0.91358,,0.9625,409
25,Q9UKU0,ACSL6,-1.867488646,1,0,0,0,1,139,,0.503448,0.503448,0.95,0.791667,0.883333,697
26,A8MVS1,ZNF705F,,0,0,0,1,0,0,,,,,,,300
27,Q9UKU6,TRHDE,-1.629099604,1,0,0,0,0,51,12,0.882759,0.882759,0.825,,0.885417,1024
28,P40205,MYCNOS,,0,0,0,1,0,0,,,,,,,109
29,Q86XE5,HOGA1,-1.375485758,1,0,0,0,0,7,1,0.882759,0.862069,0.997222,0.831111,0.947917,327
30,Q9UL63,MKLN1,-1.084512418,1,0,0,0,1,102,,0.806897,0.768966,0.538889,0.493151,0.60625,735
31,Q496F6,CD300E,-0.949215684,1,0,0,0,79,140,5,1,1,0.95,,0.985417,205
32,Q9NXC2,GFOD1,0.246672333,0,0,0,1,3,29,18,0.9,0.806897,0.841667,,0.814583,390
33,Q8WXB1,METTL21A,-0.161368004,1,0,0,0,39,89,4,0.996552,0.996552,0.488889,,0.48125,218
34,Q9UKU9,ANGPTL2,-1.797526396,1,0,0,0,42,185,2,0.693103,0.693103,0.797222,0.753378,0.835417,493
35,P30874,SSTR2,-2.539359203,0,0,1,0,45,246,,0.996552,0.996552,0.980556,,0.947917,369
36,Q9UL68,MYT1L,-1.494065337,1,0,0,0,14,40,,0.913793,0.913793,1,,0.8875,1186
37,Q9UKU7,ACAD8,-1.147836876,1,0,0,0,1,150,,0.503448,0.503448,0.594444,0.366197,0.470833,415
38,P30876,POLR2B,-2.497297095,1,0,0,0,0,149,,0.482759,0.482759,0.508333,0.344907,0.585417,1174
39,Q9NXC5,MIOS,-1.448639432,0,0,0,1,3,21,,0.558621,0.558621,0.538889,0.5,0.71875,875
40,P52209,PGD,-2.566830435,0,1,0,0,29,211,,0.465517,0.465517,0.847222,0.594595,0.90625,483
41,P53539,FOSB,-2.662856341,1,0,0,0,112,328,1,0.996552,0.913793,0.827778,0.854167,0.947917,338
42,Q8WXB4,ZNF606,-0.096910013,0,0,0,1,3,101,,0.482759,0.482759,0.591667,,0.63125,792
43,P54868,HMGCS2,-1.742786681,1,0,0,0,12,126,,0.631034,0.627586,0.966667,0.853333,0.997917,508
44,P15259,PGAM2,-1.555534861,1,0,0,0,70,191,3,0.465517,0.465517,0.997222,0.972603,,253
45,P30872,SSTR1,-2.142653027,0,0,1,0,13,303,,1,1,0.95,0.771689,0.860417,391
46,A6NDD5,SYNDIG1L,-0.557640847,0,0,0,1,0,6,,0.862069,0.862069,1,,0.985417,238
47,P42857,NSG1,-1.152652319,1,0,0,0,38,182,,1,1,,,,185
48,Q96QZ7,MAGI1,-1.085866423,1,0,0,0,67,153,,0.482759,0.482759,0.633333,0.75,0.654167,1491
49,P42858,HTT,-3.362820592,0,1,0,0,375,599,,0.465517,0.465517,0.530556,0.568889,0.539583,3142
50,Q8WXA9,SREK1,-0.530946363,1,0,0,0,8,51,3,0.534483,0.534483,0.536111,0.346667,0.654167,508
51,P39210,MPV17,-1.678068676,1,0,0,0,2,134,1,0.534483,0.534483,0.538889,,0.527083,176
52,P16591,FER,-1.863074063,0,1,0,0,73,414,,0.596552,0.596552,0.672222,0.188356,0.65625,822
53,P15260,IFNGR1,-2.230086784,1,0,0,0,221,518,10,0.913793,0.913793,0.538889,1,0.6875,489
54,Q9UKV3,ACIN1,-1.519867389,1,0,0,0,14,429,,0.482759,0.482759,0.508333,0.373874,0.641667,1341
55,Q86XD8,ZFAND4,-0.40936947,0,0,0,1,2,28,2,,,1,,0.997917,727
56,Q9UKV0,HDAC9,-2.273089497,0,0,1,0,68,431,,0.996552,0.975862,0.7,,0.733333,1011
57,Q86XD5,FAM131B,0.10720997,0,0,0,1,3,27,28,0.975862,0.975862,1,,0.9625,332
58,Q9UKV5,AMFR,-2.469093707,1,0,0,0,10,203,,0.724138,0.724138,0.538889,0.423423,0.491667,643
59,Q9NXD2,MTMR10,0.098636832,0,0,0,1,0,25,1,0.710345,0.710345,0.491667,0.583333,0.585417,777
60,A4D1P6,WDR91,-0.729029737,1,0,0,0,2,54,,0.465517,0.465517,0.608333,,0.654167,747
61,Q9UKV8,AGO2,-2.972430242,1,0,0,0,44,202,6,0.482759,0.482759,0.502778,0.340183,0.75625,859
62,Q5BKY1,LRRC10,-0.931118711,0,0,0,1,3,42,5,0.844828,0.844828,1,,0.997917,277
63,Q5BKY6,,,0,0,0,1,0,0,,,,,,,102
64,Q8WXA8,HTR3C,-0.689306135,0,1,0,0,0,78,40,,,0.997222,,0.997917,447
65,Q8WXA3,RUFY2,0.100370545,1,0,0,0,0,37,2,0.52069,0.52069,0.675,0.428241,0.775,655
66,Q6YI46,TMEM64,-0.22184875,0,0,0,1,2,9,,0.958621,0.52069,0.997222,,0.654167,380
67,Q96QZ0,PANX3,-1.664653245,1,0,0,0,2,71,,,,0.997222,,0.9625,392
68,Q5BKY9,FAM133B,0.397940009,0,0,0,1,0,26,,0.882759,0.882759,0.508333,,0.539583,247
69,Q8WXA2,PATE1,-1.518660152,1,0,0,0,0,51,50,1,1,1,,0.985417,126
70,Q9Y6A1,POMT1,-1.573716356,1,0,0,0,2,123,,0.975862,0.975862,0.597222,,0.641667,747
71,A6NDE4,RBMY1B,,1,0,0,0,0,2,,0.975862,0.975862,1,0.961039,0,496
72,P16562,CRISP2,-1.59405035,1,0,0,0,2,158,5,0.975862,0.975862,1,0.95,1,243
73,Q9Y6A2,CYP46A1,-1.848560276,1,0,0,0,55,197,,0.937931,0.937931,1,,0.90625,500
74,A6NDE8,GAGE12H,,0,0,0,1,0,49,,1,1,1,0.970085,0,117
75,Q9Y6A9,SPCS1,-0.80899824,0,0,0,1,2,44,,0.52069,0.52069,0.472222,0.510563,0.470833,102
76,Q9UKW4,VAV3,-1.821159402,1,0,0,0,11,249,4,0.806897,0.710345,0.905556,,0.939583,847
77,A8MVU1,NCF1C,,0,0,0,1,0,0,,,,,,,366
78,Q9Y6A5,TACC3,-1.996173832,1,0,0,0,111,222,,0.710345,0.710345,0.930556,0.702222,0.975,838
79,Q9Y6A4,CFAP20,-1.788033596,1,0,0,0,9,88,12,0.503448,,0.505556,,0.516667,193
