pharos_index,AccessionKeys,Gene_Name,novelty,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len,idgTDL
1,Q9UL59,ZNF214,-0.49369036299999997,9.0,103.0,12.0,0.996552,0.996552,0.8111109999999999,,0.814583,606,Tdark
2,Q9NXB0,MKS1,-1.3183739490000002,0.0,59.0,,0.8620690000000001,0.8620690000000001,0.566667,0.683575,0.6875,559,Tbio
3,Q9UKT9,IKZF3,-1.8229323869999998,120.0,314.0,4.0,0.9,0.9,0.966667,0.9391889999999999,0.997917,509,Tbio
4,Q9UL58,ZNF215,-0.517472962,39.0,91.0,,0.693103,0.693103,0.756173,0.8783780000000001,0.883333,517,Tdark
5,P28566,HTR1E,-1.568858265,10.0,110.0,4.0,,,0.9305559999999999,0.43981499999999996,0.916667,365,Tchem
6,P54852,EMP3,-1.680849784,33.0,164.0,3.0,0.482759,0.482759,0.691667,,0.791667,163,Tbio
7,Q9UKT8,FBXW2,-2.093810466,2.0,104.0,,0.844828,0.844828,0.505556,0.8472219999999999,0.572917,454,Tbio
8,Q9UKT7,FBXL3,-0.9943800079999999,28.0,174.0,4.0,0.9137930000000001,0.9137930000000001,0.505556,,0.65625,428,Tbio
9,P54851,EMP2,-2.30855601,2.0,116.0,,0.693103,0.693103,0.966667,0.621005,0.845833,167,Tbio
10,Q9UKT6,FBXL21,,0.0,0.0,1.0,0.882759,0.882759,,,,434,Tdark
11,P28562,DUSP1,-2.88259943,30.0,388.0,,,,0.722222,0.45205500000000004,0.802083,367,Tchem
12,Q9NXB9,ELOVL2,-1.992709368,3.0,122.0,,0.9137930000000001,0.9137930000000001,0.95,,0.847917,296,Tbio
13,A6NDB9,PALM3,-0.66900679,0.0,76.0,,0.844828,0.844828,0.919444,0.833333,0.9625,673,Tbio
14,Q8WXC6,COPS9,0.20994952600000003,2.0,14.0,,0.813793,,0.47222200000000003,,0.516667,57,Tbio
15,P15248,IL9,-2.508110469,147.0,459.0,,,,0.9972219999999999,,1.0,144,Tbio
16,Q6YHU6,THADA,-1.524867147,0.0,60.0,1.0,0.52069,0.52069,0.566667,,0.6875,1953,Tbio
17,P54855,UGT2B15,-1.795891146,4.0,83.0,,0.9137930000000001,0.9137930000000001,0.9972219999999999,0.949772,0.997917,530,Tbio
18,Q8WXC3,PYDC1,-2.8856726339999996,36.0,115.0,,1.0,1.0,1.0,,0.947917,89,Tbio
19,Q86XE3,MICU3,-0.210853362,2.0,50.0,,0.617241,,0.8138890000000001,,0.745833,530,Tdark
20,P40200,CD96,-2.05505367,118.0,205.0,5.0,0.9758620000000001,0.9758620000000001,0.875,0.9324319999999999,0.975,585,Tbio
