ensemble,chr,start,end,Gene_Name,mean_rd,gc_content,complexity,cds_len,gene_length,num_targ,segdups,dip,del,dup,del.sing,dup.sing,del.sing.score,dup.sing.score,del.score,dup.score,cnv.score,flag
ENSG00000138131.3,10,100007447,100028007,LOXL4,68.73759024,0.599300604,168.2142857,2355,20560,14,0,58811,1,2,1,0,-0.343403923,0.618145185,0.163145773,0.339478078,0.339117351,0
ENSG00000119943.6,10,100143322,100174941,PYROXD2,84.11510563,0.58647709,116,1856,31619,16,0,58721,1,0,1,0,-0.022225022,0.918333789,0.42249188,1.238369797,1.104568676,0
ENSG00000107521.14,10,100175955,100206684,HPS1,91.06274331,0.607213114,129.1764706,2196,30729,17,0,58965,0,0,0,0,1.03591353,1.026984114,1.078684102,1.327732227,1.533226621,0
ENSG00000172987.8,10,100218875,100995619,HPSE2,101.7266773,0.494474174,145.2307692,1888,776744,13,0,59015,1,0,1,0,0.566905694,1.521307548,0.680559534,1.280794306,1.246747775,0
ENSG00000119946.9,10,101088856,101154087,CNNM1,48.40978316,0.54773149,274.2727273,3017,65231,11,0,58860,1,1,1,1,-0.826419852,-0.573062193,-0.207902321,0.371795669,0.220174291,0
ENSG00000120053.9,10,101156627,101190381,GOT1,106.1894713,0.521709807,145,1305,33754,9,0,59102,0,1,0,1,0.722743189,-0.099408085,0.970959793,0.831839787,1.097472586,0
ENSG00000119919.9,10,101292690,101296278,NKX2-3,30.24742296,0.652098984,553.5,1107,3588,2,0,58917,0,0,0,0,-0.5275085,-0.39800391,-0.055112647,0.402644536,0.380580429,0
ENSG00000155287.6,10,101370282,101380366,SLC25A28,79.64501563,0.526266503,326.3333333,979,10084,3,0,58524,0,0,0,0,-0.029799231,0.011805749,0.372340785,0.721601308,0.822525965,0
ENSG00000198018.6,10,101419263,101465997,ENTPD7,96.05792322,0.492806617,146.5384615,1905,46734,13,0,58891,2,2,0,2,0.833486292,-0.633852556,-0.011172821,0.524082769,0.386049964,0
ENSG00000119929.8,10,101462315,101515891,CUTC,89.50876336,0.485223972,107.2,1072,53576,10,0,58881,11,2,7,1,-2.846414641,-0.110019314,-2.623544152,0.407645682,-1.06596228,0
ENSG00000014919.8,10,101471601,101491857,COX15,93.81684451,0.519113709,143,1287,20256,9,0,59017,1,0,0,0,0.568454991,0.564319814,0.279065611,1.091461484,0.952975188,0
ENSG00000107554.11,10,101635334,101769676,DNMBP,95.2187369,0.484225241,306.1875,4899,134342,16,1,58972,2,2,2,0,-0.676107719,1.03218872,0.296826065,0.797929538,0.683195808,0
ENSG00000120054.7,10,101801950,101841634,CPN1,114.188023,0.538623078,159,1431,39684,9,0,58990,2,1,2,0,-0.884176273,0.74383568,0.072350669,0.905933193,0.670695109,0
ENSG00000107566.9,10,101909851,101948091,ERLIN1,55.86891469,0.435873136,93.08333333,1117,38240,12,0,58883,1,5,1,3,-0.447624219,-1.489918359,0.104968918,-0.511408582,-0.317511184,0
ENSG00000213341.6,10,101948055,101989376,CHUK,85.69511468,0.397971311,112.65,2253,41321,20,0,59016,0,1,0,0,1.277803176,1.272043127,1.262888291,1.037936731,1.370743556,0
ENSG00000095485.12,10,101992055,102027437,CWF19L1,108.0619586,0.455384873,121.5,1701,35382,14,0,59074,2,0,0,0,1.097985338,1.040164588,0.242909903,1.402522485,1.076634698,0
ENSG00000196072.7,10,102033713,102046469,BLOC1S2,77.19349208,0.498071307,106.4,532,12756,5,0,58947,2,0,0,0,0.183088239,0.234393995,-0.486956704,0.856635357,0.390113414,0
ENSG00000107593.15,10,102047903,102090243,PKD2L1,91.16155196,0.534557204,158.375,2534,42340,16,0,59041,5,4,4,1,-2.110489424,0.121404969,-1.104204959,0.011203298,-0.425640592,0
ENSG00000099194.5,10,102106881,102124591,SCD,105.6767653,0.519924913,186,1116,17710,6,0,59039,0,1,0,0,0.51385625,0.467042787,0.841473214,0.719813533,0.965554234,0
ENSG00000075290.7,10,102222798,102243501,WNT8B,69.29518766,0.537629005,182,1092,20703,6,0,59000,0,1,0,0,0.095089783,0.167687002,0.412737417,0.414146254,0.56970708,0
ENSG00000075826.12,10,102246399,102289628,SEC31B,78.04272849,0.544733287,145.3214286,4069,43229,28,0,58847,0,3,0,0,1.318151942,1.377724968,1.189488737,0.464245638,0.828702256,0
ENSG00000255339.2,10,102265385,102289638,NDUFB8,76.4882711,0.545092236,126.8461538,1649,24253,13,0,58871,0,3,0,0,0.60174055,0.654513874,0.754240813,0.086982104,0.392793167,0
ENSG00000166136.11,10,102267203,102289757,NDUFB8,65.32634248,0.542842201,115.1818182,1267,22554,11,0,59081,0,3,0,0,0.381905356,0.469942772,0.582364511,-0.038845498,0.231965368,0
ENSG00000166135.9,10,102288829,102319755,HIF1AN,89.59202186,0.502717517,147.7777778,1330,30926,9,0,58904,0,4,0,2,0.52779351,-0.9209366,0.768355069,-0.188726103,0.175248937,0
ENSG00000075891.17,10,102495360,102589698,PAX2,112.0598227,0.586518251,127,1524,94338,12,0,59137,1,0,1,0,0.133502898,1.000658047,0.643499354,1.375193902,1.291858599,0
ENSG00000119906.7,10,102672326,102724893,FAM178A,88.08528096,0.408446775,194.1052632,3688,52567,19,0,59187,0,1,0,0,1.133604849,1.108674863,1.160459806,0.962618331,1.277444344,0
ENSG00000055950.12,10,102729215,102747272,MRPL43,60.77204505,0.586067966,212.4,2124,18057,10,0,59071,0,1,0,0,0.219821061,0.291644991,0.457594495,0.470129346,0.619772511,0
