Gene_Name,domains,name
ZNF214,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
MKS1,,
IKZF3,['IPR013087'],['Zinc finger C2H2-type']
ZNF215,"['IPR003309', 'IPR013087']","['SCAN domain', 'Zinc finger C2H2-type']"
HTR1E,,
EMP3,,
FBXW2,['IPR017986'],['WD40-repeat-containing domain']
FBXL3,,
EMP2,,
FBXL21,,
DUSP1,"['IPR000340', 'IPR000387', 'IPR001763', 'IPR003595', 'IPR020422']","['Dual specificity phosphatase, catalytic domain', 'Tyrosine specific protein phosphatases domain', 'Rhodanese-like domain', 'Protein-tyrosine phosphatase, catalytic', 'Dual specificity protein phosphatase domain']"
ELOVL2,,
PALM3,,
COPS9,,
IL9,,
THADA,['IPR019442'],"['Domain of unknown function DUF2428, death-receptor-like']"
UGT2B15,['IPR035595'],"['UDP-glycosyltransferase family, conserved site']"
PYDC1,['IPR004020'],['DAPIN domain']
MICU3,['IPR002048'],['EF-hand domain']
CD96,"['IPR003599', 'IPR007110']","['Immunoglobulin subtype', 'Immunoglobulin-like domain']"
SNX32,,
SELE,"['IPR000436', 'IPR000742', 'IPR001304', 'IPR033991']","['Sushi/SCR/CCP domain', 'EGF-like domain', 'C-type lectin-like', 'Selectin, C-type lectin-like domain']"
TRPC5,['IPR013555'],['Transient receptor ion channel domain']
KLRG2,['IPR033992'],"['Natural killer cell receptor-like, C-type lectin-like domain']"
ACSL6,"['IPR000873', 'IPR025110']","['AMP-dependent synthetase/ligase', 'AMP-binding enzyme, C-terminal domain']"
ZNF705F,['IPR001909'],['Krueppel-associated box']
TRHDE,"['IPR014782', 'IPR024571']","['Peptidase M1, membrane alanine aminopeptidase', 'ERAP1-like C-terminal domain']"
MYCNOS,"['IPR014782', 'IPR024571']","['Peptidase M1, membrane alanine aminopeptidase', 'ERAP1-like C-terminal domain']"
HOGA1,,
MKLN1,"['IPR006594', 'IPR010565']","['LIS1 homology motif', 'Muskelin, N-terminal']"
CD300E,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
GFOD1,"['IPR000683', 'IPR004104']","['Oxidoreductase, N-terminal', 'Oxidoreductase, C-terminal']"
METTL21A,,
ANGPTL2,['IPR002181'],"['Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain']"
SSTR2,,
MYT1L,['IPR013681'],['Myelin transcription factor 1']
ACAD8,"['IPR006091', 'IPR009075', 'IPR013786']","['Acyl-CoA oxidase/dehydrogenase, central domain', 'Acyl-CoA dehydrogenase/oxidase C-terminal', 'Acyl-CoA dehydrogenase/oxidase, N-terminal']"
POLR2B,"['IPR007120', 'IPR007641', 'IPR007642', 'IPR007644', 'IPR007645', 'IPR007646', 'IPR007647']","['DNA-directed RNA polymerase, subunit 2, hybrid-binding domain', 'RNA polymerase Rpb2, domain 7', 'RNA polymerase Rpb2, domain 2', 'RNA polymerase, beta subunit, protrusion', 'RNA polymerase Rpb2, domain 3', 'RNA polymerase Rpb2, domain 4', 'RNA polymerase Rpb2, domain 5']"
MIOS,['IPR031488'],"['WD repeat protein mio, zinc-ribbon like domain']"
PGD,"['IPR006114', 'IPR006115']","['6-phosphogluconate dehydrogenase, C-terminal', '6-phosphogluconate dehydrogenase, NADP-binding']"
FOSB,['IPR004827'],['Basic-leucine zipper domain']
ZNF606,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
HMGCS2,"['IPR013528', 'IPR013746']","['Hydroxymethylglutaryl-coenzyme A synthase, N-terminal', 'Hydroxymethylglutaryl-coenzyme A synthase C-terminal domain']"
PGAM2,,
SSTR1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
SYNDIG1L,,
NSG1,,
MAGI1,"['IPR001202', 'IPR001478', 'IPR008145']","['WW domain', 'PDZ domain', 'Guanylate kinase/L-type calcium channel beta subunit']"
HTT,,
SREK1,['IPR034192'],"['SREK1, RNA recognition motif 2']"
MPV17,['IPR034192'],"['SREK1, RNA recognition motif 2']"
FER,"['IPR000980', 'IPR001060', 'IPR020635', 'IPR031160', 'IPR035849', 'IPR037452']","['SH2 domain', 'FCH domain', 'Tyrosine-protein kinase, catalytic domain', 'F-BAR domain', 'Fes/Fps/Fer, SH2 domain', 'Tyrosine-protein kinase Fer, F-BAR domain']"
IFNGR1,"['IPR003961', 'IPR021126']","['Fibronectin type III', 'Interferon gamma receptor, poxvirus/mammal']"
ACIN1,"['IPR003034', 'IPR034257']","['SAP domain', 'Acinus, RNA recognition motif']"
ZFAND4,"['IPR000626', 'IPR019956']","['Ubiquitin-like domain', 'Ubiquitin domain']"
HDAC9,"['IPR023801', 'IPR024643']","['Histone deacetylase domain', 'Histone deacetylase, glutamine rich N-terminal domain']"
FAM131B,"['IPR023801', 'IPR024643']","['Histone deacetylase domain', 'Histone deacetylase, glutamine rich N-terminal domain']"
AMFR,"['IPR001841', 'IPR003892', 'IPR040675']","['Zinc finger, RING-type', 'Ubiquitin system component CUE', 'E3 ubiquitin-protein ligase AMFR, Ube2g2-binding region']"
MTMR10,['IPR010569'],['Myotubularin-like phosphatase domain']
WDR91,['IPR017986'],['WD40-repeat-containing domain']
AGO2,"['IPR003100', 'IPR003165', 'IPR014811', 'IPR032472', 'IPR032473', 'IPR032474']","['PAZ domain', 'Piwi domain', 'Argonaute, linker 1 domain', 'Argonaute linker 2 domain', 'Protein argonaute, Mid domain', 'Protein argonaute, N-terminal']"
LRRC10,,
,,
