AccessionKeys,Gene_Name,novelty,idgTDL_Tbio,idgTDL_Tchem,idgTDL_Tclin,idgTDL_Tdark,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len
Q9UL59,ZNF214,-0.493690363,0,0,0,1,9,103,12,0.996552,0.996552,0.811111,,0.814583,606
Q9NXB0,MKS1,-1.318373949,1,0,0,0,0,59,,0.862069,0.862069,0.566667,0.683575,0.6875,559
Q9UKT9,IKZF3,-1.822932387,1,0,0,0,120,314,4,0.9,0.9,0.966667,0.939189,0.997917,509
Q9UL58,ZNF215,-0.517472962,0,0,0,1,39,91,,0.693103,0.693103,0.756173,0.878378,0.883333,517
P28566,HTR1E,-1.568858265,0,1,0,0,10,110,4,,,0.930556,0.439815,0.916667,365
P54852,EMP3,-1.680849784,1,0,0,0,33,164,3,0.482759,0.482759,0.691667,,0.791667,163
Q9UKT8,FBXW2,-2.093810466,1,0,0,0,2,104,,0.844828,0.844828,0.505556,0.847222,0.572917,454
Q9UKT7,FBXL3,-0.994380008,1,0,0,0,28,174,4,0.913793,0.913793,0.505556,,0.65625,428
P54851,EMP2,-2.30855601,1,0,0,0,2,116,,0.693103,0.693103,0.966667,0.621005,0.845833,167
Q9UKT6,FBXL21,,0,0,0,1,0,0,1,0.882759,0.882759,,,,434
P28562,DUSP1,-2.88259943,0,1,0,0,30,388,,,,0.722222,0.452055,0.802083,367
Q9NXB9,ELOVL2,-1.992709368,1,0,0,0,3,122,,0.913793,0.913793,0.95,,0.847917,296
A6NDB9,PALM3,-0.66900679,1,0,0,0,0,76,,0.844828,0.844828,0.919444,0.833333,0.9625,673
Q8WXC6,COPS9,0.209949526,1,0,0,0,2,14,,0.813793,,0.472222,,0.516667,57
P15248,IL9,-2.508110469,1,0,0,0,147,459,,,,0.997222,,1,144
Q6YHU6,THADA,-1.524867147,1,0,0,0,0,60,1,0.52069,0.52069,0.566667,,0.6875,1953
P54855,UGT2B15,-1.795891146,1,0,0,0,4,83,,0.913793,0.913793,0.997222,0.949772,0.997917,530
Q8WXC3,PYDC1,-2.885672634,1,0,0,0,36,115,,1,1,1,,0.947917,89
Q86XE3,MICU3,-0.210853362,0,0,0,1,2,50,,0.617241,,0.813889,,0.745833,530
P40200,CD96,-2.05505367,1,0,0,0,118,205,5,0.975862,0.975862,0.875,0.932432,0.975,585
Q86XE0,SNX32,0.350248018,0,0,0,1,3,89,9,0.631034,0.631034,0.997222,,0.8875,403
P16581,SELE,-3.449258137,0,1,0,0,569,919,6,0.975862,0.975862,0.930556,0.98,0.916667,610
Q9UL62,TRPC5,-2.250022648,0,1,0,0,112,220,3,0.937931,0.937931,0.997222,,0.90625,973
A4D1S0,KLRG2,-0.066946788,0,0,0,1,0,58,39,0.937931,0.937931,0.91358,,0.9625,409
Q9UKU0,ACSL6,-1.867488646,1,0,0,0,1,139,,0.503448,0.503448,0.95,0.791667,0.883333,697
A8MVS1,ZNF705F,,0,0,0,1,0,0,,,,,,,300
Q9UKU6,TRHDE,-1.629099604,1,0,0,0,0,51,12,0.882759,0.882759,0.825,,0.885417,1024
P40205,MYCNOS,,0,0,0,1,0,0,,,,,,,109
