Gene_Name,family,name
ZNF214,,
MKS1,['IPR010796'],['B9 domain']
IKZF3,,
ZNF215,,
HTR1E,['IPR027425'],['5-Hydroxytryptamine 1E receptor']
EMP3,"['IPR003934', 'IPR004031', 'IPR004032']","['Epithelial membrane protein EMP-3', 'PMP-22/EMP/MP20/Claudin superfamily', 'PMP-22/EMP/MP20']"
FBXW2,['IPR042627'],['F-box/WD repeat-containing protein 2']
FBXL3,,
EMP2,"['IPR003933', 'IPR004032']","['Epithelial membrane protein 2', 'PMP-22/EMP/MP20']"
FBXL21,"['IPR003933', 'IPR004032']","['Epithelial membrane protein 2', 'PMP-22/EMP/MP20']"
DUSP1,"['IPR008343', 'IPR020417']","['Mitogen-activated protein (MAP) kinase phosphatase', 'Atypical dual specificity phosphatase']"
ELOVL2,"['IPR002076', 'IPR033680']","['ELO family', 'Elongation of very long chain fatty acids protein 2']"
PALM3,['IPR024149'],['Paralemmin-3']
COPS9,['IPR029391'],"['COP9 signalosome complex, subunit 9, metazoa']"
IL9,['IPR020447'],['Interleukin-9']
THADA,,
UGT2B15,['IPR002213'],['UDP-glucuronosyl/UDP-glucosyltransferase']
PYDC1,['IPR002398'],['Peptidase C14 family']
MICU3,['IPR039800'],['Calcium uptake protein 1/2/3']
CD96,['IPR042381'],['T-cell surface protein tactile']
SNX32,['IPR014637'],['Sorting nexin-5/6/32']
SELE,['IPR002396'],['Selectin superfamily']
TRPC5,['IPR002153'],"['Transient receptor potential channel, canonical']"
KLRG2,['IPR043318'],['Killer cell lectin-like receptor subfamily G member 2']
ACSL6,,
ZNF705F,,
TRHDE,"['IPR001930', 'IPR015570', 'IPR034016']","['Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase', 'Pyroglutamyl-peptidase II', 'Aminopeptidase N-type']"
MYCNOS,"['IPR001930', 'IPR015570', 'IPR034016']","['Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase', 'Pyroglutamyl-peptidase II', 'Aminopeptidase N-type']"
HOGA1,['IPR002220'],['DapA-like']
MKLN1,,
CD300E,,
GFOD1,,
METTL21A,['IPR019410'],['Lysine methyltransferase']
ANGPTL2,,
SSTR2,"['IPR000586', 'IPR002074']","['Somatostatin receptor family', 'Somatostatin receptor 2']"
MYT1L,,
ACAD8,['IPR034178'],['Isobutyryl-CoA dehydrogenase']
POLR2B,['IPR015712'],"['DNA-directed RNA polymerase, subunit 2']"
MIOS,,
PGD,"['IPR006113', 'IPR006183']","['6-phosphogluconate dehydrogenase, decarboxylating', '6-phosphogluconate dehydrogenase']"
FOSB,"['IPR000837', 'IPR029813']","['AP-1 transcription factor', 'Protein FosB']"
ZNF606,,
HMGCS2,['IPR010122'],"['Hydroxymethylglutaryl-CoA synthase, eukaryotic']"
PGAM2,"['IPR005952', 'IPR013078']","['Phosphoglycerate mutase 1', 'Histidine phosphatase superfamily, clade-1']"
SSTR1,"['IPR000276', 'IPR000586', 'IPR001116']","['G protein-coupled receptor, rhodopsin-like', 'Somatostatin receptor family', 'Somatostatin receptor 1']"
SYNDIG1L,['IPR007593'],['CD225/Dispanin family']
NSG1,['IPR009431'],['Neuronal vesicle trafficking-associated protein']
